Industry (current) (9 categories) Code,Industry,Highest level of qualification Code,Highest level of qualification,Sex Code,Sex,Observation,Population,Percentage
6,Financial and administrative,2,Lvl 2 : 5 or more GCSEs,1,Female,312994,30420206,0.010289016
6,Financial and administrative,2,Lvl 2 : 5 or more GCSEs,2,Male,254619,29177341,0.008726601
6,Financial and administrative,3,Lvl 3: 2 or more A levels,1,Female,400408,30420206,0.013162567
6,Financial and administrative,3,Lvl 3: 2 or more A levels,2,Male,411248,29177341,0.014094773
6,Financial and administrative,4,Lvl 4 or above: Degree,1,Female,1121436,30420206,0.036864839
6,Financial and administrative,4,Lvl 4 or above: Degree,2,Male,1354003,29177341,0.046405976
6,Financial and administrative,5,apprenticeships,1,Female,93409,30420206,0.003070624
6,Financial and administrative,5,apprenticeships,2,Male,129356,29177341,0.00443344
7,Education and Health,0,No qualifications,1,Female,246205,30420206,0.008093469
7,Education and Health,0,No qualifications,2,Male,107885,29177341,0.003697561
7,Education and Health,1,Lvl 1 : 1 to 4 GCSEs ,1,Female,349525,30420206,0.011489896
7,Education and Health,1,Lvl 1 : 1 to 4 GCSEs ,2,Male,132890,29177341,0.004554562
7,Education and Health,2,Lvl 2 : 5 or more GCSEs,1,Female,680712,30420206,0.022376969
7,Education and Health,2,Lvl 2 : 5 or more GCSEs,2,Male,228111,29177341,0.007818087
7,Education and Health,3,Lvl 3: 2 or more A levels,1,Female,1190123,30420206,0.039122779
7,Education and Health,3,Lvl 3: 2 or more A levels,2,Male,457579,29177341,0.015682683
7,Education and Health,4,Lvl 4 or above: Degree,1,Female,3281466,30420206,0.107871262
7,Education and Health,4,Lvl 4 or above: Degree,2,Male,1487231,29177341,0.050972123
7,Education and Health,5,apprenticeships,1,Female,186532,30420206,0.006131845
7,Education and Health,5,apprenticeships,2,Male,120582,29177341,0.004132728
8,Other,0,No qualifications,1,Female,38551,30420206,0.001267283
8,Other,0,No qualifications,2,Male,41285,29177341,0.001414968
8,Other,1,Lvl 1 : 1 to 4 GCSEs ,1,Female,46555,30420206,0.001530397
8,Other,1,Lvl 1 : 1 to 4 GCSEs ,2,Male,38698,29177341,0.001326303
8,Other,2,Lvl 2 : 5 or more GCSEs,1,Female,91899,30420206,0.003020985
8,Other,2,Lvl 2 : 5 or more GCSEs,2,Male,62549,29177341,0.002143753
8,Other,3,Lvl 3: 2 or more A levels,1,Female,182235,30420206,0.005990591
8,Other,3,Lvl 3: 2 or more A levels,2,Male,109930,29177341,0.00376765
8,Other,4,Lvl 4 or above: Degree,1,Female,304760,30420206,0.010018341
8,Other,4,Lvl 4 or above: Degree,2,Male,245068,29177341,0.008399257
8,Other,5,apprenticeships,1,Female,60179,30420206,0.001978257
8,Other,5,apprenticeships,2,Male,43665,29177341,0.001496538
